F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,KELAS
0.093041117,0.086541188,0.096166757,0.087328949,0.082268665,0.086541188,0.087945788,0.087328949,0.075625472,0.075034342,0.082013816,0.07570456,22.20590112,28.67219418,22.30180854,25.95537932,30.94679616,28.67219418,31.16419615,25.95537932,33.10468624,34.9516833,34.41011813,33.73675383,1642.258971,2487.40447,1543.496441,2147.086277,2967.431978,2487.40447,2864.188835,2147.086277,3155.582482,3377.952492,3278.138812,3256.738088,0.305194376,0.277275547,0.309067436,0.282478811,0.264874873,0.277275547,0.276490436,0.282478811,0.241821135,0.240072556,0.257695319,0.243797872,133.3075427,71.18867445,143.9552997,57.53956771,148.0688964,54.05390908,5067.827371,3310.801853,2921.825087,0.00115582,5.03E-10,2.15E-11,6.65E-12,-5.65E-23,-1.49E-16,5.61E-23,Cheetah
0.016962623,0.014941991,0.017824115,0.01460424,0.013033161,0.014941991,0.013504584,0.01460424,0.011562741,0.01180085,0.011841304,0.011577012,11.34195995,13.07083326,8.893266533,13.98001611,18.20137433,13.07083326,14.90614993,13.98001611,21.34998929,19.55557256,18.49625755,20.33288233,346.2235834,442.3466827,214.2838343,507.5184521,821.1078182,442.3466827,564.896249,507.5184521,1059.178112,906.9210881,819.1890651,960.4005809,0.194834072,0.15479406,0.201494947,0.149025366,0.125976771,0.15479406,0.124888957,0.149025366,0.099132329,0.099154664,0.095652916,0.094831581,54.24758933,39.67970713,131.4853813,41.63579741,129.8762987,45.23795049,1574.479158,1733.539626,2046.472165,0.001465123,3.65E-07,2.31E-12,5.34E-12,-4.30E-24,2.37E-15,1.83E-23,Cheetah
0.032156898,0.024403215,0.025744122,0.023173468,0.025209211,0.024403215,0.01954439,0.023173468,0.022277226,0.019011388,0.016900267,0.017945839,7.824224962,10.58773977,8.037507143,10.99896937,13.53792394,10.58773977,14.1034552,10.99896937,17.22497261,17.42529257,18.19579856,17.61640109,233.5157646,395.6087103,223.3676643,420.8540653,678.6621933,395.6087103,656.4255197,420.8540653,1044.901509,999.0073916,1018.352935,987.6385542,0.347696469,0.240279752,0.264113319,0.224617671,0.253557934,0.240279752,0.170575752,0.224617671,0.209648316,0.159128458,0.129362817,0.144837089,50.23762278,21.48207806,94.78634875,36.8638884,140.2396157,53.851362,461.4796778,1358.946268,2899.969189,0.001768988,7.77E-07,2.72E-11,3.15E-11,9.14E-22,2.65E-14,1.24E-22,Cheetah
0.022929439,0.020600268,0.025154704,0.021148139,0.018699889,0.020600268,0.020285329,0.021148139,0.017608764,0.01789293,0.018868635,0.018279438,9.338563539,11.25766181,7.586764163,11.06189877,14.65953723,11.25766181,12.37610923,11.06189877,17.27927369,16.27547699,15.17014533,16.11352089,236.9085791,341.8359695,166.9727863,354.739961,612.2261022,341.8359695,465.4956217,354.739961,879.810546,765.7041315,721.1118522,790.8942706,0.191438908,0.157110052,0.218980499,0.163479729,0.131201097,0.157110052,0.150760648,0.163479729,0.11542912,0.118900976,0.132137805,0.123789436,113.4418802,26.57782575,128.1957112,28.99349503,146.3899969,30.21776968,706.3808218,840.622754,913.1136044,0.001312561,2.38E-07,3.34E-13,4.54E-13,-1.26E-25,-1.95E-16,-1.25E-25,Cheetah
0.032041152,0.026599805,0.030284033,0.025843933,0.024741443,0.026599805,0.022915902,0.025843933,0.021401433,0.020697603,0.019603546,0.01994509,8.68440575,11.16111327,8.205450913,11.87327624,14.66632233,11.16111327,14.15026919,11.87327624,18.70156242,17.82446643,18.5486954,19.11355722,224.489462,347.2274567,195.169218,395.3441181,606.7139441,347.2274567,570.1879439,395.3441181,933.0964607,849.0442483,953.6772471,977.7541576,0.298129465,0.244902804,0.289968036,0.236445672,0.220869403,0.244902804,0.204335371,0.236445672,0.183038616,0.1736106,0.162543257,0.164771907,106.7356371,51.76967712,157.9529238,50.60161868,157.9997327,50.68644543,2680.099469,2560.523813,2569.115751,0.001335978,6.61E-07,2.35E-11,2.81E-11,6.63E-22,2.26E-14,2.83E-22,Cheetah
0.023538006,0.021216784,0.027672569,0.021497901,0.018005274,0.021216784,0.020915174,0.021497901,0.015868607,0.016596071,0.018169031,0.016839384,9.292696026,12.14646176,9.298996387,12.18079414,15.39634342,12.14646176,15.29275467,12.18079414,19.13094299,18.43389018,18.79892404,18.52802059,237.3486942,401.915911,245.830831,424.3853884,648.05713,401.915911,664.6737508,424.3853884,977.9130911,906.0880925,985.2470431,952.0144716,0.217775436,0.184999503,0.256214884,0.189877206,0.143312935,0.184999503,0.178654743,0.189877206,0.114199149,0.12444292,0.144342059,0.128768527,92.23025116,36.53233064,123.2404495,40.56102493,157.1880579,41.60353663,1334.611182,1645.196743,1730.85426,0.001480154,6.03E-07,1.06E-11,1.02E-12,3.21E-24,-7.26E-16,-8.95E-25,Cheetah
0.069403484,0.056367661,0.064145686,0.056448603,0.053528195,0.056367661,0.048609106,0.056448603,0.046055891,0.043594175,0.041692254,0.04367555,7.652306994,11.71765531,9.547455343,11.06862571,13.03663825,11.71765531,15.05926741,11.06862571,16.8003093,17.68104817,18.3528096,16.95269784,283.9891024,618.7210866,394.9024831,525.6751613,779.8923111,618.7210866,953.7886174,525.6751613,1194.881153,1284.404381,1332.949079,1155.928658,0.404455783,0.32631865,0.370012122,0.327876924,0.308871188,0.32631865,0.273357395,0.327876924,0.25616577,0.236907166,0.220632444,0.237079927,81.49009369,28.65351636,127.8881163,32.77668296,134.1545308,36.14258466,821.0239995,1074.310946,1306.286426,0.001550293,6.73E-07,4.07E-13,3.83E-13,-1.16E-25,-2.26E-16,-9.78E-26,Cheetah
0.038076131,0.030839082,0.036782966,0.032949414,0.029096055,0.030839082,0.02759105,0.032949414,0.025298292,0.023758903,0.023719643,0.025498595,7.348830203,9.481908998,6.339673402,8.688211138,12.12752743,9.481908998,10.71774105,8.688211138,15.23033359,14.69984326,13.81480242,13.60288905,236.9541901,376.5562145,175.431716,319.6647134,597.6525431,376.5562145,461.719916,319.6647134,878.4534498,809.0435918,716.719667,716.7067154,0.353854366,0.271839938,0.344892333,0.292818317,0.246504492,0.271839938,0.227932393,0.292818317,0.20050521,0.180699678,0.178133779,0.197200091,163.0443359,51.3061273,176.861,53.03099933,183.1341055,52.55545542,2632.318698,2812.28689,2762.075895,0.001086857,2.46E-07,1.50E-11,1.13E-11,8.27E-23,4.48E-15,1.22E-22,Cheetah
0.028791995,0.025182581,0.028971461,0.025104342,0.022973942,0.025182581,0.02323978,0.025104342,0.020731243,0.020970201,0.021040949,0.020791415,7.13334854,8.557810774,6.956957486,8.554574813,10.08638766,8.557810774,9.991609522,8.554574813,11.77215419,11.24314468,11.83335786,11.8816958,158.3383635,214.271137,146.2018127,211.3004483,292.2702897,214.271137,283.6911262,211.3004483,385.9107546,350.67806,397.1365957,397.3770721,0.310935486,0.260281867,0.311351692,0.259054033,0.229318747,0.260281867,0.231111305,0.259054033,0.196142536,0.198278699,0.198709782,0.195659818,91.70319824,38.12157169,116.463846,39.43458287,136.5954801,43.4460637,1453.254228,1555.086326,1887.560451,0.001498236,2.86E-07,1.41E-11,1.50E-12,-3.87E-24,5.36E-16,-5.71E-24,Cheetah
0.018376346,0.016863368,0.020746277,0.016556673,0.014839882,0.016863368,0.016187263,0.016556673,0.013782456,0.014149066,0.014540737,0.013881119,17.74180991,21.97709203,17.10715429,21.96530678,25.74223665,21.97709203,24.98334004,21.96530678,28.19076342,27.92382979,27.31485754,28.04204661,932.2320776,1424.573944,929.0351713,1422.034613,1845.55828,1424.573944,1874.582656,1422.034613,2076.197881,2115.382229,2092.069755,2096.045086,0.135808069,0.113527922,0.166588784,0.109174042,0.086899153,0.113527922,0.103263926,0.109174042,0.073192966,0.075646947,0.08148878,0.07467578,73.91264821,38.62277175,124.8175778,39.00875189,77.20490173,64.89373663,1491.718498,1521.682724,4211.197054,0.001682281,5.86E-07,8.50E-12,1.60E-12,2.42E-24,1.21E-15,-5.36E-24,Cheetah
